
  RooFitResult: minimized FCN value: 0, estimated distance to minimum: 2.54115e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Constant Parameter    Value     
   ttw_stat_hilow21_In    0.0000e+00
   ttw_stat_hilow22_In    0.0000e+00
   ttw_stat_hilow23_In    0.0000e+00
   ttw_stat_hilow24_In    0.0000e+00
   ttw_stat_hilow25_In    0.0000e+00
   ttw_stat_hilow26_In    0.0000e+00
    ttw_stat_hilow2_In    0.0000e+00
    ttw_stat_hilow3_In    0.0000e+00
    ttw_stat_hilow4_In    0.0000e+00
    ttw_stat_hilow5_In    0.0000e+00
    ttw_stat_hilow6_In    0.0000e+00
    ttw_stat_hilow7_In    0.0000e+00
    ttw_stat_hilow8_In    0.0000e+00
    ttw_stat_hilow9_In    0.0000e+00
   ttw_stat_lowlow1_In    0.0000e+00
   ttw_stat_lowlow2_In    0.0000e+00
   ttw_stat_lowlow3_In    0.0000e+00
   ttw_stat_lowlow4_In    0.0000e+00
   ttw_stat_lowlow5_In    0.0000e+00
   ttw_stat_lowlow6_In    0.0000e+00
   ttw_stat_lowlow7_In    0.0000e+00
   ttw_stat_lowlow8_In    0.0000e+00
      ttzh_extr_hth_In    0.0000e+00
      ttzh_extr_htl_In    0.0000e+00
       ttzh_extr_ll_In    0.0000e+00
   ttzh_stat_hihi10_In    0.0000e+00
   ttzh_stat_hihi11_In    0.0000e+00
   ttzh_stat_hihi12_In    0.0000e+00
   ttzh_stat_hihi13_In    0.0000e+00
   ttzh_stat_hihi14_In    0.0000e+00
   ttzh_stat_hihi15_In    0.0000e+00
   ttzh_stat_hihi16_In    0.0000e+00
   ttzh_stat_hihi17_In    0.0000e+00
   ttzh_stat_hihi18_In    0.0000e+00
   ttzh_stat_hihi19_In    0.0000e+00
    ttzh_stat_hihi1_In    0.0000e+00
   ttzh_stat_hihi20_In    0.0000e+00
   ttzh_stat_hihi21_In    0.0000e+00
   ttzh_stat_hihi22_In    0.0000e+00
   ttzh_stat_hihi23_In    0.0000e+00
   ttzh_stat_hihi24_In    0.0000e+00
   ttzh_stat_hihi25_In    0.0000e+00
   ttzh_stat_hihi26_In    0.0000e+00
   ttzh_stat_hihi27_In    0.0000e+00
   ttzh_stat_hihi28_In    0.0000e+00
   ttzh_stat_hihi29_In    0.0000e+00
    ttzh_stat_hihi2_In    0.0000e+00
   ttzh_stat_hihi30_In    0.0000e+00
   ttzh_stat_hihi31_In    0.0000e+00
   ttzh_stat_hihi32_In    0.0000e+00
    ttzh_stat_hihi3_In    0.0000e+00
    ttzh_stat_hihi4_In    0.0000e+00
    ttzh_stat_hihi5_In    0.0000e+00
    ttzh_stat_hihi6_In    0.0000e+00
    ttzh_stat_hihi7_In    0.0000e+00
    ttzh_stat_hihi8_In    0.0000e+00
    ttzh_stat_hihi9_In    0.0000e+00
  ttzh_stat_hilow10_In    0.0000e+00
  ttzh_stat_hilow11_In    0.0000e+00
  ttzh_stat_hilow12_In    0.0000e+00
  ttzh_stat_hilow13_In    0.0000e+00
  ttzh_stat_hilow14_In    0.0000e+00
  ttzh_stat_hilow15_In    0.0000e+00
  ttzh_stat_hilow16_In    0.0000e+00
  ttzh_stat_hilow17_In    0.0000e+00
  ttzh_stat_hilow18_In    0.0000e+00
  ttzh_stat_hilow19_In    0.0000e+00
   ttzh_stat_hilow1_In    0.0000e+00
  ttzh_stat_hilow20_In    0.0000e+00
  ttzh_stat_hilow21_In    0.0000e+00
  ttzh_stat_hilow22_In    0.0000e+00
  ttzh_stat_hilow23_In    0.0000e+00
  ttzh_stat_hilow24_In    0.0000e+00
  ttzh_stat_hilow25_In    0.0000e+00
  ttzh_stat_hilow26_In    0.0000e+00
   ttzh_stat_hilow2_In    0.0000e+00
   ttzh_stat_hilow3_In    0.0000e+00
   ttzh_stat_hilow4_In    0.0000e+00
   ttzh_stat_hilow5_In    0.0000e+00
   ttzh_stat_hilow6_In    0.0000e+00
   ttzh_stat_hilow7_In    0.0000e+00
   ttzh_stat_hilow8_In    0.0000e+00
   ttzh_stat_hilow9_In    0.0000e+00
  ttzh_stat_lowlow1_In    0.0000e+00
  ttzh_stat_lowlow2_In    0.0000e+00
  ttzh_stat_lowlow3_In    0.0000e+00
  ttzh_stat_lowlow4_In    0.0000e+00
  ttzh_stat_lowlow5_In    0.0000e+00
  ttzh_stat_lowlow6_In    0.0000e+00
  ttzh_stat_lowlow7_In    0.0000e+00
  ttzh_stat_lowlow8_In    0.0000e+00
     ww_stat_hihi10_In    0.0000e+00
     ww_stat_hihi11_In    0.0000e+00
     ww_stat_hihi12_In    0.0000e+00
     ww_stat_hihi13_In    0.0000e+00
     ww_stat_hihi14_In    0.0000e+00
     ww_stat_hihi15_In    0.0000e+00
     ww_stat_hihi16_In    0.0000e+00
     ww_stat_hihi17_In    0.0000e+00
     ww_stat_hihi18_In    0.0000e+00
     ww_stat_hihi19_In    0.0000e+00
      ww_stat_hihi1_In    0.0000e+00
     ww_stat_hihi20_In    0.0000e+00
     ww_stat_hihi21_In    0.0000e+00
     ww_stat_hihi22_In    0.0000e+00
     ww_stat_hihi23_In    0.0000e+00
     ww_stat_hihi24_In    0.0000e+00
     ww_stat_hihi25_In    0.0000e+00
     ww_stat_hihi26_In    0.0000e+00
     ww_stat_hihi27_In    0.0000e+00
     ww_stat_hihi28_In    0.0000e+00
     ww_stat_hihi29_In    0.0000e+00
      ww_stat_hihi2_In    0.0000e+00
     ww_stat_hihi30_In    0.0000e+00
     ww_stat_hihi31_In    0.0000e+00
     ww_stat_hihi32_In    0.0000e+00
      ww_stat_hihi3_In    0.0000e+00
      ww_stat_hihi4_In    0.0000e+00
      ww_stat_hihi5_In    0.0000e+00
      ww_stat_hihi6_In    0.0000e+00
      ww_stat_hihi7_In    0.0000e+00
      ww_stat_hihi8_In    0.0000e+00
      ww_stat_hihi9_In    0.0000e+00
    ww_stat_hilow10_In    0.0000e+00
    ww_stat_hilow11_In    0.0000e+00
    ww_stat_hilow12_In    0.0000e+00
    ww_stat_hilow13_In    0.0000e+00
    ww_stat_hilow14_In    0.0000e+00
    ww_stat_hilow15_In    0.0000e+00
    ww_stat_hilow16_In    0.0000e+00
    ww_stat_hilow17_In    0.0000e+00
    ww_stat_hilow18_In    0.0000e+00
    ww_stat_hilow19_In    0.0000e+00
     ww_stat_hilow1_In    0.0000e+00
    ww_stat_hilow20_In    0.0000e+00
    ww_stat_hilow21_In    0.0000e+00
    ww_stat_hilow22_In    0.0000e+00
    ww_stat_hilow23_In    0.0000e+00
    ww_stat_hilow24_In    0.0000e+00
    ww_stat_hilow25_In    0.0000e+00
    ww_stat_hilow26_In    0.0000e+00
     ww_stat_hilow2_In    0.0000e+00
     ww_stat_hilow3_In    0.0000e+00
     ww_stat_hilow4_In    0.0000e+00
     ww_stat_hilow5_In    0.0000e+00
     ww_stat_hilow6_In    0.0000e+00
     ww_stat_hilow7_In    0.0000e+00
     ww_stat_hilow8_In    0.0000e+00
     ww_stat_hilow9_In    0.0000e+00
    ww_stat_lowlow1_In    0.0000e+00
    ww_stat_lowlow2_In    0.0000e+00
    ww_stat_lowlow3_In    0.0000e+00
    ww_stat_lowlow4_In    0.0000e+00
    ww_stat_lowlow5_In    0.0000e+00
    ww_stat_lowlow6_In    0.0000e+00
    ww_stat_lowlow7_In    0.0000e+00
    ww_stat_lowlow8_In    0.0000e+00
     wz_stat_hihi10_In    0.0000e+00
     wz_stat_hihi11_In    0.0000e+00
     wz_stat_hihi12_In    0.0000e+00
     wz_stat_hihi13_In    0.0000e+00
     wz_stat_hihi14_In    0.0000e+00
     wz_stat_hihi15_In    0.0000e+00
     wz_stat_hihi16_In    0.0000e+00
     wz_stat_hihi17_In    0.0000e+00
     wz_stat_hihi18_In    0.0000e+00
     wz_stat_hihi19_In    0.0000e+00
      wz_stat_hihi1_In    0.0000e+00
     wz_stat_hihi20_In    0.0000e+00
     wz_stat_hihi21_In    0.0000e+00
     wz_stat_hihi22_In    0.0000e+00
     wz_stat_hihi23_In    0.0000e+00
     wz_stat_hihi24_In    0.0000e+00
     wz_stat_hihi25_In    0.0000e+00
     wz_stat_hihi26_In    0.0000e+00
     wz_stat_hihi27_In    0.0000e+00
     wz_stat_hihi28_In    0.0000e+00
     wz_stat_hihi29_In    0.0000e+00
      wz_stat_hihi2_In    0.0000e+00
     wz_stat_hihi30_In    0.0000e+00
     wz_stat_hihi31_In    0.0000e+00
     wz_stat_hihi32_In    0.0000e+00
      wz_stat_hihi3_In    0.0000e+00
      wz_stat_hihi4_In    0.0000e+00
      wz_stat_hihi5_In    0.0000e+00
      wz_stat_hihi6_In    0.0000e+00
      wz_stat_hihi7_In    0.0000e+00
      wz_stat_hihi8_In    0.0000e+00
      wz_stat_hihi9_In    0.0000e+00
    wz_stat_hilow10_In    0.0000e+00
    wz_stat_hilow11_In    0.0000e+00
    wz_stat_hilow12_In    0.0000e+00
    wz_stat_hilow13_In    0.0000e+00
    wz_stat_hilow14_In    0.0000e+00
    wz_stat_hilow15_In    0.0000e+00
    wz_stat_hilow16_In    0.0000e+00
    wz_stat_hilow17_In    0.0000e+00
    wz_stat_hilow18_In    0.0000e+00
    wz_stat_hilow19_In    0.0000e+00
     wz_stat_hilow1_In    0.0000e+00
    wz_stat_hilow20_In    0.0000e+00
    wz_stat_hilow21_In    0.0000e+00
    wz_stat_hilow22_In    0.0000e+00
    wz_stat_hilow23_In    0.0000e+00
    wz_stat_hilow24_In    0.0000e+00
    wz_stat_hilow25_In    0.0000e+00
    wz_stat_hilow26_In    0.0000e+00
     wz_stat_hilow2_In    0.0000e+00
     wz_stat_hilow3_In    0.0000e+00
     wz_stat_hilow4_In    0.0000e+00
     wz_stat_hilow5_In    0.0000e+00
     wz_stat_hilow6_In    0.0000e+00
     wz_stat_hilow7_In    0.0000e+00
     wz_stat_hilow8_In    0.0000e+00
     wz_stat_hilow9_In    0.0000e+00
    wz_stat_lowlow1_In    0.0000e+00
    wz_stat_lowlow2_In    0.0000e+00
    wz_stat_lowlow3_In    0.0000e+00
    wz_stat_lowlow4_In    0.0000e+00
    wz_stat_lowlow5_In    0.0000e+00
    wz_stat_lowlow6_In    0.0000e+00
    wz_stat_lowlow7_In    0.0000e+00
    wz_stat_lowlow8_In    0.0000e+00
     xg_stat_hihi10_In    0.0000e+00
     xg_stat_hihi11_In    0.0000e+00
     xg_stat_hihi12_In    0.0000e+00
     xg_stat_hihi13_In    0.0000e+00
     xg_stat_hihi14_In    0.0000e+00
     xg_stat_hihi15_In    0.0000e+00
     xg_stat_hihi16_In    0.0000e+00
     xg_stat_hihi17_In    0.0000e+00
     xg_stat_hihi18_In    0.0000e+00
     xg_stat_hihi19_In    0.0000e+00
      xg_stat_hihi1_In    0.0000e+00
     xg_stat_hihi20_In    0.0000e+00
     xg_stat_hihi21_In    0.0000e+00
     xg_stat_hihi22_In    0.0000e+00
     xg_stat_hihi23_In    0.0000e+00
     xg_stat_hihi24_In    0.0000e+00
     xg_stat_hihi25_In    0.0000e+00
     xg_stat_hihi26_In    0.0000e+00
     xg_stat_hihi27_In    0.0000e+00
     xg_stat_hihi28_In    0.0000e+00
     xg_stat_hihi29_In    0.0000e+00
      xg_stat_hihi2_In    0.0000e+00
     xg_stat_hihi30_In    0.0000e+00
     xg_stat_hihi31_In    0.0000e+00
     xg_stat_hihi32_In    0.0000e+00
      xg_stat_hihi3_In    0.0000e+00
      xg_stat_hihi4_In    0.0000e+00
      xg_stat_hihi5_In    0.0000e+00
      xg_stat_hihi6_In    0.0000e+00
      xg_stat_hihi7_In    0.0000e+00
      xg_stat_hihi8_In    0.0000e+00
      xg_stat_hihi9_In    0.0000e+00
    xg_stat_hilow10_In    0.0000e+00
    xg_stat_hilow11_In    0.0000e+00
    xg_stat_hilow12_In    0.0000e+00
    xg_stat_hilow13_In    0.0000e+00
    xg_stat_hilow14_In    0.0000e+00
    xg_stat_hilow15_In    0.0000e+00
    xg_stat_hilow16_In    0.0000e+00
    xg_stat_hilow17_In    0.0000e+00
    xg_stat_hilow18_In    0.0000e+00
    xg_stat_hilow19_In    0.0000e+00
     xg_stat_hilow1_In    0.0000e+00
